Type,Label,Amount,Direction,OpenPrice,Profit/Loss in pips,OpenDate,CloseDate,Comments,A_Global (アカウントがグローバル・アカウントの場合にtrue),A_CreditLine (取引可能額。値は約5秒間隔で更新されている。),A_Currency (アカウントの通貨設定),A_Equity (純資産額。値は約5秒間隔で更新されている。),A_Leverage (レバレッジ設定),A_MarginCutLevel (マージンカットレベル。このレベルを超過するとマージンカット(ロスカット)。),A_OverWeekEndLeverage (ウィークエンド・レバレッジ・レベル。このレベルを超過するとマージンカット(ロスカット)。),A_UseOfLeverage (証拠金使用率。値は約5秒間隔で更新されている。),A_Balance
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6122,-246.2,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1772929.0,JPY,26990.45,100.0,200,80,34.31,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.614,-142.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2812323.0,JPY,37384.45,100.0,200,80,24.77,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6146,-135.5,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2880505.0,JPY,38066.45,100.0,200,80,24.33,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6152,-100.5,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,3229899.0,JPY,41560.45,100.0,200,80,22.28,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6158,-152.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2714293.0,JPY,36404.45,100.0,200,80,25.44,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6164,-244.6,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1788687.0,JPY,27148.45,100.0,200,80,34.11,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6182,-244.8,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1788081.0,JPY,27142.45,100.0,200,80,34.12,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6188,-353.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,701263.0,JPY,16274.45,100.0,200,80,56.91,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6194,-378.9,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,445657.0,JPY,13718.45,100.0,200,80,67.51,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.62,-354.0,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,695051.0,JPY,16212.45,100.0,200,80,57.13,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6206,-391.6,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,319445.0,JPY,12456.45,100.0,200,80,74.36,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6224,-422.2,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,13839.0,JPY,9400.45,100.0,200,80,98.53,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.623,-352.3,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,712021.0,JPY,16382.45,100.0,200,80,56.54,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6236,-228.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1951415.0,JPY,28776.45,100.0,200,80,32.19,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6242,-234.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1890809.0,JPY,28170.45,100.0,200,80,32.88,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6248,-265.5,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1580203.0,JPY,25064.45,100.0,200,80,36.95,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6266,-211.2,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2124597.0,JPY,30508.45,100.0,200,80,30.36,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6272,-209.7,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2137779.0,JPY,30640.45,100.0,200,80,30.23,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6278,-217.8,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2057173.0,JPY,29834.45,100.0,200,80,31.05,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6284,-210.8,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2126567.0,JPY,30528.45,100.0,200,80,30.34,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.629,-233.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1900961.0,JPY,28272.45,100.0,200,80,32.76,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6308,-233.6,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1900355.0,JPY,28266.45,100.0,200,80,32.77,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6314,-226.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1973537.0,JPY,28998.45,100.0,200,80,31.94,51606.45
